protocol,scheme,checkpointing,file_size,chunk_size,total_chunks,channel,disruptions_configured,disruption_duration_s,completed,integrity_ok,corrupted,attempts,total_time_s,handshake_time_s,recovery_times_s,payload_bytes_sent,kex_wire_bytes,kex_cpu_ms,checkpoint_writes,checkpoint_bytes,checkpoint_overhead_ms,resumed_from_chunks,goodput_mbps,retransmission_overhead_pct,wasted_bytes,mean_recovery_s,max_recovery_s,repeat
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,2.1777086619999864,0.05067665199999283,1.0676,6753195,4544,11.954650999769001,0,0,0.0,,15.4081,61.009,2558891,1.0676,1.0676,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,1.8622146110001268,0.0241112940000221,1.0791,4851810,128,0.30297700004666694,10,4717,20.30349699884937,32,18.0186,15.676,657506,1.0791,1.0791,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,1.8377418729999135,0.023387736999893605,1.0559,4851810,128,0.3396260001409246,10,4715,16.750648000197543,32,18.2585,15.676,657506,1.0559,1.0559,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,1.8381224730001122,0.022158673999911116,1.0531,4851810,128,0.33773200016185,10,4718,18.81873000024825,32,18.2547,15.676,657506,1.0531,1.0531,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,1.8693871560001298,0.054572709999774816,1.0691,4786245,4544,11.876425000082236,10,4707,19.23398700046164,32,17.9494,14.113,591941,1.0691,1.0691,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,1.879705371,0.05440627799998765,1.0754,4786245,4544,12.50465299995085,10,4703,20.89049299979706,32,17.8509,14.113,591941,1.0754,1.0754,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,1.8772468810000191,0.05205960500006768,1.0679,4655115,4544,12.253115000248727,9,4237,17.57969900017997,32,17.8743,10.987,460811,1.0679,1.0679,2
baseline-tls,x25519-ecdhe,False,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.744530333000057,0.012442004000149609,,16784640,64,0.15282899994417676,0,0,0.0,,48.9037,0.044,7424,0.0,0.0,0
baseline-tls,x25519-ecdhe,False,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.6993529559999843,0.014876379000043016,,16784640,64,0.15506099998674472,0,0,0.0,,49.7222,0.044,7424,0.0,0.0,1
baseline-tls,x25519-ecdhe,False,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.7088010129998565,0.011827915999901961,,16784640,64,0.14357600002767867,0,0,0.0,,49.5488,0.044,7424,0.0,0.0,2
pq-nockpt,ml-kem-768,False,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.7398899030001758,0.027737664999904155,,16784640,2272,5.642134000026999,0,0,0.0,,48.9865,0.044,7424,0.0,0.0,0
pq-nockpt,ml-kem-768,False,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.6993155360000856,0.025511702999892805,,16784640,2272,6.206673999940904,0,0,0.0,,49.7229,0.044,7424,0.0,0.0,1
pq-nockpt,ml-kem-768,False,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.8238198250001005,0.026964607999843793,,16784640,2272,6.295867000062572,0,0,0.0,,47.5306,0.044,7424,0.0,0.0,2
classical-ckpt,x25519-ecdhe,True,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.7104317350001566,0.012479960000064239,,16784640,64,0.1641910000671487,32,15210,55.099594000012075,,49.5189,0.044,7424,0.0,0.0,0
classical-ckpt,x25519-ecdhe,True,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.649781214000086,0.015282304000038494,,16784640,64,0.15547800012427615,32,15215,61.57513799962544,,50.6524,0.044,7424,0.0,0.0,1
classical-ckpt,x25519-ecdhe,True,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.690052019999939,0.01148102199999812,,16784640,64,0.12823299994124682,32,15206,68.35668700000497,,49.8941,0.044,7424,0.0,0.0,2
proposed,ml-kem-768,True,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.775656584999979,0.027730319000056625,,16784640,2272,5.783957000176088,32,15184,58.3866209997268,,48.3553,0.044,7424,0.0,0.0,0
proposed,ml-kem-768,True,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.6861932799999977,0.02482378600006996,,16784640,2272,5.8864929999344895,32,15182,61.02091400111931,,49.9658,0.044,7424,0.0,0.0,1
proposed,ml-kem-768,True,16777216,65536,256,6g-d0x0.0s,0,0.0,True,True,False,1,2.803254589000062,0.02623474899996836,,16784640,2272,5.792900999949779,32,15179,54.991128999972716,,47.8793,0.044,7424,0.0,0.0,2
baseline-tls,x25519-ecdhe,False,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.48761841999999,0.025454301999843665,0.4215,19341675,128,0.30662399990433187,0,0,0.0,,38.4841,15.285,2564459,0.4215,0.4215,0
baseline-tls,x25519-ecdhe,False,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.45611979399996,0.026599042000043482,0.4245,19276110,128,0.2797000001919514,0,0,0.0,,38.8348,14.895,2498894,0.4245,0.4245,1
baseline-tls,x25519-ecdhe,False,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.4632768689998557,0.02774703399995815,0.4244,19341675,128,0.31298499993681617,0,0,0.0,,38.7545,15.285,2564459,0.4244,0.4244,2
pq-nockpt,ml-kem-768,False,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.5244603869998627,0.05659854199984693,0.4376,19144980,4544,11.85473700024886,0,0,0.0,,38.0818,14.113,2367764,0.4376,0.4376,0
pq-nockpt,ml-kem-768,False,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.489901742000029,0.05156890700004624,0.4349,19144980,4544,11.91921600002388,0,0,0.0,,38.4589,14.113,2367764,0.4349,0.4349,1
pq-nockpt,ml-kem-768,False,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.5041279499998836,0.05012775699992744,0.4330,19144980,4544,11.533597999687117,0,0,0.0,,38.3027,14.113,2367764,0.433,0.433,2
classical-ckpt,x25519-ecdhe,True,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.1534643469999537,0.023458588999801577,0.4198,17243595,128,0.2982519997658528,33,15689,61.21341200014285,32,42.562,2.78,466379,0.4198,0.4198,0
classical-ckpt,x25519-ecdhe,True,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.146700898000063,0.021846568000000843,0.4198,17243595,128,0.2793399999063695,33,15684,76.20643299947005,32,42.6535,2.78,466379,0.4198,0.4198,1
classical-ckpt,x25519-ecdhe,True,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.134796997999956,0.02463885199995275,0.4216,17243595,128,0.2828829999543814,33,15686,59.114311999792335,32,42.8154,2.78,466379,0.4216,0.4216,2
proposed,ml-kem-768,True,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.244423418999986,0.07195550899996306,0.4458,17374725,4544,20.670862999850215,34,16127,59.67290700027661,24,41.3687,3.561,597509,0.4458,0.4458,0
proposed,ml-kem-768,True,16777216,65536,256,6g-d1x0.3s,1,0.3,True,True,False,5,3.230805336000003,0.05427774299982957,0.4338,17571420,4544,16.026198999952612,34,16130,78.27893600028801,24,41.5431,4.734,794204,0.4338,0.4338,1
